client_no,age,gender,edu,marital,card_type
1639,42,M,Graduate,Married,Blue
1640,59,M,Post-Graduate,Married,Blue
1641,46,F,Uneducated,Married,Blue
1642,37,F,Graduate,Married,Blue
1643,49,F,Unknown,Divorced,Blue
1644,40,M,Graduate,Single,Blue
1645,52,F,High School,Married,Blue
1646,38,M,High School,Married,Blue
1647,34,F,Graduate,Divorced,Blue
1648,47,M,Doctorate,Single,Blue
1649,33,F,College,Single,Blue
1650,52,M,Post-Graduate,Married,Blue
1651,48,F,Graduate,Married,Blue
1652,45,F,Uneducated,Married,Blue
1653,40,M,High School,Married,Blue
1654,40,F,High School,Single,Blue
1655,33,F,Graduate,Single,Blue
1656,56,M,Graduate,Single,Blue
1657,43,F,Unknown,Single,Blue
1658,51,M,High School,Single,Blue
1659,42,M,Post-Graduate,Unknown,Blue
1660,60,F,Post-Graduate,Single,Blue
1661,49,M,Graduate,Married,Blue
1662,44,F,Graduate,Married,Blue
1663,50,F,Post-Graduate,Divorced,Blue
1664,45,F,Graduate,Married,Blue
1665,55,M,Graduate,Single,Blue
1666,41,F,Uneducated,Married,Blue
1667,36,M,Graduate,Married,Blue
1668,57,M,Unknown,Single,Silver
1669,57,F,Graduate,Married,Blue
1670,43,F,High School,Divorced,Silver
1671,46,M,Unknown,Divorced,Blue
1672,42,F,Uneducated,Single,Blue
1673,53,F,Graduate,Single,Blue
1674,47,F,Graduate,Married,Blue
1675,43,F,Graduate,Unknown,Blue
1676,41,F,Unknown,Single,Blue
1677,55,M,College,Single,Blue
1678,46,F,Unknown,Married,Blue
1679,47,M,College,Married,Silver
1680,43,F,High School,Unknown,Blue
1681,44,M,Uneducated,Married,Blue
1682,47,M,High School,Married,Blue
1683,35,M,High School,Single,Blue
1684,43,F,Graduate,Married,Blue
1685,38,F,High School,Single,Blue
1686,44,M,Graduate,Divorced,Blue
1687,57,F,Uneducated,Single,Blue
1688,38,F,Post-Graduate,Single,Blue
1689,37,M,High School,Married,Blue
1690,39,M,High School,Divorced,Blue
1691,47,F,Unknown,Married,Blue
1692,44,F,Doctorate,Married,Blue
1693,50,M,Graduate,Married,Blue
1694,52,M,Graduate,Single,Blue
1695,52,M,Unknown,Married,Blue
1696,54,F,Unknown,Married,Blue
1697,54,M,High School,Married,Blue
1698,47,M,Uneducated,Married,Silver
1699,44,M,Graduate,Single,Blue
1700,59,F,Graduate,Single,Blue
1701,54,F,Doctorate,Single,Blue
1702,50,F,Unknown,Married,Blue
1703,61,M,Graduate,Married,Blue
1704,55,F,Unknown,Single,Blue
1705,47,F,Uneducated,Married,Blue
1706,51,F,Unknown,Single,Blue
1707,43,M,Post-Graduate,Single,Blue
1708,66,F,High School,Married,Blue
1709,33,M,Post-Graduate,Married,Blue
1710,46,F,High School,Married,Blue
1711,47,F,Graduate,Married,Blue
1712,48,F,Unknown,Married,Blue
1713,42,F,Doctorate,Single,Blue
1714,41,M,High School,Single,Blue
1715,46,F,College,Unknown,Blue
1716,39,M,Graduate,Single,Blue
1717,44,F,Doctorate,Unknown,Blue
1718,42,F,High School,Married,Gold
1719,46,M,Uneducated,Married,Blue
1720,51,M,Uneducated,Married,Blue
1721,46,M,Graduate,Divorced,Blue
1722,59,M,Post-Graduate,Married,Blue
1723,60,M,Graduate,Single,Blue
1724,43,F,High School,Unknown,Blue
1725,43,F,Graduate,Unknown,Blue
1726,51,M,Graduate,Single,Blue
1727,40,F,Post-Graduate,Single,Blue
1728,49,M,High School,Married,Blue
1729,36,M,Graduate,Single,Blue
1730,57,F,Uneducated,Divorced,Blue
1731,35,M,Graduate,Married,Blue
1732,58,F,Graduate,Married,Blue
1733,43,M,High School,Single,Blue
1734,51,F,Uneducated,Divorced,Blue
1735,46,M,High School,Unknown,Blue
1736,32,M,College,Single,Blue
1737,36,M,Unknown,Married,Blue
1738,52,F,Uneducated,Single,Blue
1739,56,F,High School,Married,Blue
1740,52,F,Unknown,Single,Blue
1741,48,F,College,Married,Blue
1742,47,F,Graduate,Married,Blue
1743,50,F,Uneducated,Married,Blue
1744,42,M,High School,Married,Blue
1745,55,M,High School,Married,Blue
1746,44,F,Unknown,Single,Blue
1747,46,M,College,Married,Blue
1748,43,M,Uneducated,Divorced,Blue
1749,43,M,High School,Married,Blue
1750,40,F,College,Single,Silver
1751,61,M,Uneducated,Married,Blue
1752,49,F,High School,Married,Blue
1753,43,M,High School,Married,Blue
1754,50,M,Uneducated,Married,Blue
1755,58,M,Unknown,Single,Blue
1756,37,F,Uneducated,Single,Blue
1757,43,M,Graduate,Married,Blue
1758,45,M,Graduate,Married,Blue
1759,48,M,Unknown,Single,Blue
1760,46,M,Doctorate,Married,Blue
1761,62,F,High School,Single,Blue
1762,40,F,Uneducated,Single,Blue
1763,45,F,Graduate,Married,Blue
1764,45,F,Graduate,Married,Blue
1765,52,F,High School,Single,Blue
1766,42,F,Uneducated,Married,Blue
1767,40,F,College,Single,Blue
1768,33,M,Graduate,Married,Blue
1769,44,F,High School,Single,Blue
1770,33,M,High School,Single,Blue
1771,42,M,Graduate,Single,Blue
1772,30,F,Uneducated,Married,Blue
1773,50,F,Uneducated,Married,Blue
1774,34,M,Uneducated,Single,Blue
1775,39,M,Unknown,Single,Blue
1776,55,F,Graduate,Single,Blue
1777,44,M,Graduate,Married,Blue
1778,33,F,Graduate,Married,Blue
1779,46,M,Graduate,Unknown,Blue
1780,55,M,Uneducated,Single,Silver
1781,50,F,College,Single,Blue
1782,46,F,Uneducated,Married,Blue
1783,65,F,Graduate,Married,Blue
1784,28,M,Post-Graduate,Single,Blue
1785,52,F,High School,Married,Blue
1786,48,M,Uneducated,Married,Blue
1787,50,F,Uneducated,Single,Blue
1788,51,F,Unknown,Married,Blue
1789,48,F,Uneducated,Married,Blue
1790,44,M,Unknown,Single,Blue
1791,43,F,Graduate,Single,Blue
1792,52,F,Graduate,Single,Blue
1793,51,F,College,Married,Blue
1794,54,M,Post-Graduate,Divorced,Blue
1795,46,F,High School,Unknown,Blue
1796,50,F,Graduate,Married,Blue
1797,60,F,Graduate,Single,Blue
1798,48,M,High School,Married,Silver
1799,47,M,Graduate,Single,Blue
1800,51,M,Unknown,Divorced,Blue
1801,46,F,Graduate,Single,Blue
1802,54,F,Post-Graduate,Married,Blue
1803,59,F,Post-Graduate,Single,Blue
1804,60,M,Graduate,Married,Blue
1805,56,M,Uneducated,Divorced,Blue
1806,47,F,High School,Single,Blue
1807,48,F,Graduate,Married,Silver
1808,48,M,Unknown,Single,Blue
1809,44,M,Doctorate,Married,Blue
1810,52,F,High School,Married,Blue
1811,53,F,Uneducated,Married,Blue
1812,61,M,High School,Married,Blue
1813,56,M,Graduate,Single,Blue
1814,42,F,High School,Married,Blue
1815,54,F,Graduate,Single,Blue
1816,44,F,Unknown,Married,Blue
1817,50,F,Graduate,Unknown,Blue
1818,51,F,Graduate,Single,Blue
1819,27,F,Unknown,Single,Blue
1820,50,F,Graduate,Single,Blue
1821,46,M,Graduate,Single,Blue
1822,45,F,Uneducated,Single,Blue
1823,55,M,Graduate,Married,Blue
1824,47,F,College,Divorced,Blue
1825,34,M,Graduate,Married,Blue
1826,50,F,Unknown,Married,Blue
1827,41,M,Post-Graduate,Unknown,Blue
1828,43,F,College,Single,Blue
1829,43,F,Uneducated,Single,Blue
1830,30,F,High School,Single,Blue
1831,50,M,Unknown,Single,Blue
1832,30,M,High School,Married,Blue
1833,63,F,Graduate,Single,Gold
1834,47,F,Graduate,Married,Blue
1835,50,F,Unknown,Married,Blue
1836,43,M,Doctorate,Divorced,Blue
1837,41,F,Uneducated,Unknown,Silver
1838,39,F,Graduate,Unknown,Blue
1839,42,F,Unknown,Married,Blue
1840,55,M,High School,Married,Blue
1841,35,F,Graduate,Single,Blue
1842,43,M,High School,Single,Blue
1843,63,M,Graduate,Single,Blue
1844,37,M,Uneducated,Single,Blue
1845,41,M,Graduate,Divorced,Blue
1846,46,F,Doctorate,Divorced,Blue
1847,53,F,Graduate,Married,Blue
1848,55,M,Graduate,Married,Blue
1849,55,F,Post-Graduate,Single,Blue
1850,46,F,High School,Single,Blue
1851,52,M,Graduate,Married,Blue
1852,52,F,High School,Single,Blue
1853,61,F,Graduate,Single,Blue
1854,54,F,High School,Unknown,Blue
1855,52,F,Graduate,Single,Blue
1856,45,F,Unknown,Divorced,Blue
1857,61,M,College,Single,Blue
1858,65,M,Doctorate,Single,Blue
1859,50,F,Graduate,Single,Blue
1860,41,M,Graduate,Single,Blue
1861,42,F,High School,Single,Blue
1862,54,F,High School,Single,Blue
1863,63,M,Graduate,Married,Blue
1864,37,F,College,Single,Blue
1865,50,M,Graduate,Divorced,Blue
1866,31,M,Unknown,Married,Blue
1867,56,M,College,Single,Gold
1868,41,F,High School,Married,Silver
1869,40,M,High School,Single,Blue
1870,30,M,College,Divorced,Blue
1871,33,F,Post-Graduate,Unknown,Blue
1872,55,F,College,Married,Blue
1873,44,F,College,Single,Blue
1874,38,M,Graduate,Married,Blue
1875,47,F,Unknown,Married,Blue
1876,57,M,Uneducated,Married,Blue
1877,44,F,College,Single,Blue
1878,49,M,College,Divorced,Blue
1879,42,M,High School,Single,Silver
1880,47,M,High School,Single,Blue
1881,55,M,College,Married,Blue
1882,50,M,Graduate,Married,Blue
1883,43,M,Graduate,Single,Blue
1884,37,M,Graduate,Married,Blue
1885,64,M,College,Married,Blue
1886,45,M,Uneducated,Unknown,Blue
1887,61,F,Graduate,Divorced,Blue
1888,48,M,Graduate,Single,Blue
1889,38,F,Graduate,Single,Blue
1890,42,F,Graduate,Single,Blue
1891,35,M,College,Married,Blue
1892,46,F,Uneducated,Single,Blue
1893,50,M,Graduate,Married,Blue
1894,46,M,Unknown,Married,Blue
1895,41,M,High School,Married,Blue
1896,51,M,Post-Graduate,Married,Blue
1897,49,M,Uneducated,Single,Blue
1898,65,F,Uneducated,Single,Blue
1899,55,F,Uneducated,Married,Blue
1900,30,M,Unknown,Unknown,Blue
1901,61,M,Uneducated,Single,Blue
1902,42,F,High School,Single,Blue
1903,46,M,Uneducated,Divorced,Blue
1904,30,F,Graduate,Married,Blue
1905,35,F,Unknown,Single,Blue
1906,43,M,High School,Married,Blue
1907,45,M,College,Divorced,Blue
1908,53,M,Graduate,Married,Blue
1909,51,F,College,Married,Blue
1910,60,M,Uneducated,Married,Blue
1911,45,M,High School,Single,Blue
1912,55,F,Graduate,Married,Blue
1913,50,F,Uneducated,Single,Blue
1914,47,F,High School,Married,Blue
1915,54,F,High School,Married,Blue
1916,47,M,Unknown,Married,Blue
1917,42,F,Graduate,Married,Blue
1918,47,M,High School,Married,Blue
1919,46,M,High School,Married,Blue
1920,57,F,Doctorate,Married,Blue
1921,35,M,Graduate,Married,Blue
1922,40,M,High School,Married,Blue
1923,48,F,Graduate,Unknown,Blue
1924,53,M,High School,Unknown,Blue
1925,54,M,Unknown,Married,Blue
1926,37,M,Graduate,Married,Blue
1927,57,M,Unknown,Single,Blue
1928,37,F,Unknown,Married,Blue
1929,42,F,Graduate,Married,Blue
1930,57,F,Graduate,Married,Blue
1931,42,M,Graduate,Divorced,Blue
1932,54,M,High School,Married,Blue
1933,28,M,High School,Married,Blue
1934,38,M,Graduate,Single,Blue
1935,55,M,Post-Graduate,Single,Blue
1936,49,M,College,Married,Blue
1937,37,F,Unknown,Single,Blue
1938,41,F,High School,Married,Blue
1939,45,F,High School,Married,Blue
1940,49,M,Uneducated,Married,Blue
1941,42,M,Uneducated,Married,Blue
1942,55,F,College,Divorced,Blue
1943,51,M,Graduate,Married,Blue
1944,53,F,Graduate,Married,Blue
1945,38,F,Graduate,Married,Blue
1946,50,M,Uneducated,Married,Blue
1947,44,M,College,Married,Blue
1948,35,F,Graduate,Single,Blue
1949,55,F,Graduate,Single,Blue
1950,54,F,Unknown,Married,Blue
1951,56,F,Uneducated,Single,Blue
1952,59,M,Graduate,Single,Blue
1953,62,M,Graduate,Single,Blue
1954,36,F,Graduate,Married,Blue
1955,38,F,Uneducated,Single,Blue
1956,50,M,Graduate,Single,Blue
1957,40,F,Graduate,Single,Blue
1958,53,F,Uneducated,Married,Blue
1959,50,F,High School,Single,Blue
1960,47,F,High School,Married,Blue
1961,41,M,Uneducated,Married,Blue
1962,51,M,Uneducated,Single,Silver
1963,55,M,Graduate,Married,Blue
1964,65,M,Graduate,Single,Blue
1965,61,F,Post-Graduate,Married,Blue
1966,45,F,College,Divorced,Blue
1967,48,M,Unknown,Unknown,Blue
1968,49,M,Graduate,Single,Blue
1969,40,F,Doctorate,Single,Blue
1970,49,F,Uneducated,Married,Blue
1971,44,F,Uneducated,Single,Blue
1972,48,M,Graduate,Married,Blue
1973,42,F,Graduate,Single,Blue
1974,43,F,Unknown,Unknown,Blue
1975,33,M,Graduate,Married,Blue
1976,37,F,High School,Single,Blue
1977,56,F,College,Married,Blue
1978,42,M,Uneducated,Married,Silver
1979,47,F,Doctorate,Married,Blue
1980,42,M,Uneducated,Single,Silver
1981,48,M,Graduate,Married,Silver
1982,42,F,Unknown,Unknown,Blue
1983,49,M,High School,Single,Blue
1984,30,M,Unknown,Married,Blue
1985,48,M,Unknown,Single,Blue
1986,54,F,High School,Married,Blue
1987,53,M,Graduate,Married,Blue
1988,51,F,Uneducated,Single,Silver
1989,49,F,Doctorate,Divorced,Blue
1990,56,F,High School,Single,Blue
1991,56,M,Post-Graduate,Married,Blue
1992,48,M,College,Married,Blue
1993,57,M,Graduate,Single,Blue
1994,46,M,Unknown,Single,Blue
1995,39,F,High School,Married,Blue
1996,54,F,College,Single,Blue
1997,28,M,High School,Single,Blue
1998,35,M,Doctorate,Single,Blue
1999,38,M,Graduate,Married,Blue
2000,42,F,Uneducated,Married,Blue
2001,61,F,College,Single,Blue
2002,63,F,Graduate,Married,Blue
2003,48,M,College,Single,Blue
2004,50,M,High School,Single,Blue
2005,46,M,High School,Single,Blue
2006,46,M,High School,Divorced,Blue
2007,63,M,Graduate,Single,Blue
2008,45,M,Graduate,Married,Blue
2009,49,M,Uneducated,Divorced,Blue
2010,58,M,Uneducated,Single,Silver
2011,47,F,Doctorate,Single,Blue
2012,49,F,Graduate,Unknown,Blue
2013,38,F,Uneducated,Married,Blue
2014,47,F,College,Married,Blue
2015,57,F,Doctorate,Single,Blue
2016,32,M,High School,Single,Blue
2017,49,M,College,Single,Blue
2018,37,F,High School,Single,Blue
2019,59,F,Post-Graduate,Single,Blue
2020,33,M,Doctorate,Single,Blue
2021,45,M,Graduate,Married,Blue
2022,49,F,Uneducated,Married,Blue
2023,47,F,Uneducated,Single,Blue
2024,49,M,Graduate,Married,Blue
2025,35,M,College,Married,Blue
2026,43,M,Uneducated,Single,Blue
2027,43,M,High School,Married,Blue
2028,46,M,High School,Married,Blue
2029,49,F,High School,Single,Silver
2030,63,M,Uneducated,Single,Blue
2031,44,F,Uneducated,Single,Blue
2032,44,M,College,Single,Blue
2033,41,F,College,Single,Blue
2034,54,F,College,Single,Blue
2035,52,F,College,Married,Blue
2036,52,F,Graduate,Married,Blue
2037,54,M,Graduate,Married,Blue
2038,48,F,High School,Single,Blue
2039,37,F,Post-Graduate,Married,Blue
2040,53,F,Graduate,Single,Blue
2041,48,F,Uneducated,Married,Blue
2042,57,F,High School,Married,Blue
2043,44,M,High School,Single,Gold
2044,54,F,College,Married,Blue
2045,44,M,High School,Married,Blue
2046,58,F,Unknown,Married,Blue
2047,59,F,Uneducated,Married,Blue
2048,55,F,Unknown,Single,Blue
2049,47,M,Uneducated,Married,Blue
2050,40,M,High School,Married,Blue
2051,45,F,Doctorate,Single,Blue
2052,45,F,Graduate,Married,Blue
2053,52,F,High School,Married,Blue
2054,43,M,College,Married,Blue
2055,42,F,High School,Married,Blue
2056,48,F,Unknown,Unknown,Blue
2057,51,F,Uneducated,Single,Blue
2058,50,F,College,Single,Blue
2059,49,F,College,Single,Blue
2060,36,M,High School,Single,Blue
2061,37,F,Graduate,Single,Blue
2062,41,F,Graduate,Married,Blue
2063,27,M,Uneducated,Married,Blue
2064,38,F,Graduate,Married,Blue
2065,48,F,Uneducated,Married,Blue
2066,49,M,High School,Married,Gold
2067,37,F,Doctorate,Single,Blue
2068,46,F,High School,Single,Blue
2069,46,M,Graduate,Married,Blue
2070,44,F,High School,Single,Blue
2071,46,F,High School,Single,Blue
2072,51,M,Graduate,Married,Blue
2073,33,M,Unknown,Single,Blue
2074,55,M,Graduate,Married,Blue
2075,39,M,Graduate,Married,Blue
2076,38,M,Unknown,Divorced,Blue
2077,43,M,High School,Single,Blue
2078,38,M,Uneducated,Single,Blue
2079,40,M,Graduate,Married,Blue
2080,50,F,Graduate,Single,Silver
2081,44,M,Unknown,Single,Blue
2082,41,M,Uneducated,Single,Blue
2083,37,M,Graduate,Unknown,Blue
2084,42,M,Graduate,Single,Blue
2085,38,F,Graduate,Married,Blue
2086,55,M,Graduate,Married,Blue
2087,50,M,Unknown,Unknown,Blue
2088,48,F,Doctorate,Unknown,Blue
2089,42,M,Uneducated,Married,Blue
2090,60,M,Graduate,Single,Silver
2091,45,F,Graduate,Single,Blue
2092,54,F,Graduate,Married,Blue
2093,43,F,Graduate,Single,Blue
2094,41,F,Graduate,Single,Gold
2095,47,M,Unknown,Married,Blue
2096,45,M,Graduate,Married,Blue
2097,38,F,Unknown,Single,Blue
2098,38,F,High School,Single,Blue
2099,42,F,Unknown,Single,Blue
2100,56,F,Unknown,Married,Blue
2101,50,M,High School,Married,Blue
2102,48,F,High School,Married,Blue
2103,37,M,High School,Single,Blue
2104,40,M,Graduate,Married,Blue
2105,50,F,High School,Single,Blue
2106,58,F,High School,Single,Blue
2107,47,F,Doctorate,Single,Blue
2108,49,F,Uneducated,Married,Blue
2109,32,M,Post-Graduate,Single,Blue
2110,51,F,Unknown,Married,Blue
2111,57,F,Graduate,Single,Blue
2112,55,M,Graduate,Single,Silver
2113,62,F,High School,Married,Blue
2114,37,M,Uneducated,Unknown,Blue
2115,53,F,College,Married,Blue
2116,46,F,Unknown,Married,Blue
2117,44,M,Graduate,Married,Blue
2118,55,M,Graduate,Married,Blue
2119,50,F,High School,Married,Silver
2120,60,F,High School,Single,Blue
2121,39,M,Uneducated,Single,Blue
2122,37,M,College,Married,Blue
2123,49,F,Unknown,Married,Blue
2124,52,F,Uneducated,Single,Blue
2125,45,F,College,Married,Blue
2126,54,F,High School,Single,Blue
2127,39,F,Graduate,Married,Blue
2128,36,F,Unknown,Married,Blue
2129,47,F,College,Married,Blue
2130,50,F,High School,Single,Blue
2131,62,M,High School,Married,Blue
2132,41,F,Graduate,Single,Blue
2133,38,F,Uneducated,Single,Blue
2134,47,F,College,Married,Blue
2135,59,M,Graduate,Single,Blue
2136,54,M,College,Single,Blue
2137,65,M,Graduate,Single,Blue
2138,48,F,Uneducated,Single,Blue
2139,47,F,Unknown,Unknown,Blue
2140,53,F,Uneducated,Single,Blue
2141,37,F,Uneducated,Married,Blue
2142,41,M,High School,Married,Blue
2143,40,F,High School,Married,Blue
2144,38,M,Unknown,Married,Blue
2145,39,F,Unknown,Single,Blue
2146,42,F,Unknown,Married,Blue
2147,54,F,Doctorate,Single,Blue
2148,47,F,High School,Unknown,Blue
2149,42,M,College,Single,Blue
2150,48,F,Graduate,Married,Blue
2151,59,F,Unknown,Single,Blue
2152,36,M,High School,Married,Blue
2153,42,F,Graduate,Unknown,Blue
2154,39,M,Graduate,Single,Gold
2155,52,F,Graduate,Married,Blue
2156,43,F,Graduate,Married,Blue
2157,44,F,College,Single,Blue
2158,41,M,High School,Married,Blue
2159,45,M,High School,Unknown,Blue
2160,47,M,Graduate,Married,Silver
2161,36,M,Graduate,Single,Blue
2162,54,F,Doctorate,Married,Blue
2163,51,M,Graduate,Single,Blue
2164,58,M,Uneducated,Single,Blue
2165,48,F,Doctorate,Divorced,Blue
2166,48,M,Uneducated,Unknown,Blue
2167,45,M,Unknown,Married,Blue
2168,43,M,Doctorate,Single,Blue
2169,28,F,Graduate,Married,Blue
2170,53,M,Uneducated,Married,Blue
2171,54,M,Unknown,Single,Blue
2172,42,F,Unknown,Married,Blue
2173,43,F,Graduate,Married,Blue
2174,41,M,Uneducated,Single,Blue
2175,51,M,High School,Married,Blue
2176,44,F,Graduate,Divorced,Blue
2177,51,F,Graduate,Divorced,Blue
2178,57,F,Graduate,Married,Blue
2179,38,F,High School,Unknown,Blue
2180,36,M,Unknown,Single,Blue
2181,55,F,College,Single,Blue
2182,49,M,High School,Married,Blue
2183,50,M,High School,Unknown,Blue
2184,26,F,Uneducated,Unknown,Silver
2185,39,F,Graduate,Single,Blue
2186,50,F,Uneducated,Married,Blue
2187,44,M,High School,Married,Blue
2188,41,F,Doctorate,Married,Silver
2189,45,F,Unknown,Married,Blue
2190,56,F,Post-Graduate,Married,Blue
2191,49,F,College,Single,Blue
2192,44,M,High School,Divorced,Blue
2193,46,F,Unknown,Single,Blue
2194,49,M,Uneducated,Single,Blue
2195,50,M,Graduate,Unknown,Blue
2196,52,F,Uneducated,Single,Blue
2197,59,F,Unknown,Married,Blue
2198,52,F,High School,Married,Blue
2199,49,M,Unknown,Married,Blue
2200,27,F,High School,Married,Blue
2201,54,F,Uneducated,Married,Blue
2202,41,F,Unknown,Single,Blue
2203,52,F,Post-Graduate,Married,Blue
2204,39,F,College,Single,Blue
2205,43,M,High School,Single,Blue
2206,33,F,College,Single,Blue
2207,50,F,Graduate,Married,Blue
2208,46,M,Graduate,Married,Blue
2209,52,F,High School,Single,Blue
2210,50,F,Post-Graduate,Married,Blue
2211,26,M,Unknown,Single,Blue
2212,46,M,High School,Divorced,Silver
2213,49,M,Doctorate,Married,Blue
2214,40,M,Graduate,Single,Blue
2215,58,M,Graduate,Single,Blue
2216,59,F,Post-Graduate,Married,Blue
2217,39,M,Uneducated,Single,Blue
2218,45,M,Unknown,Married,Silver
2219,44,M,Graduate,Married,Blue
2220,44,F,College,Single,Blue
2221,38,F,High School,Married,Blue
2222,31,F,Unknown,Single,Blue
2223,55,F,Graduate,Married,Blue
2224,47,M,Unknown,Single,Blue
2225,54,M,High School,Married,Blue
2226,36,F,Uneducated,Single,Blue
2227,55,F,Graduate,Married,Blue
2228,35,M,Post-Graduate,Married,Blue
2229,42,F,High School,Single,Blue
2230,38,M,Post-Graduate,Single,Silver
2231,31,F,Uneducated,Married,Blue
2232,56,F,Unknown,Married,Blue
2233,48,F,Graduate,Single,Blue
2234,57,M,Graduate,Married,Blue
2235,51,F,Unknown,Single,Blue
2236,39,F,College,Single,Blue
2237,36,F,College,Unknown,Blue
2238,46,F,Doctorate,Single,Gold
2239,44,M,College,Married,Blue
2240,47,F,High School,Single,Blue
2241,47,M,Unknown,Married,Blue
2242,35,M,College,Single,Blue
2243,43,M,Graduate,Married,Blue
2244,42,M,High School,Married,Blue
2245,54,M,Graduate,Unknown,Blue
2246,55,M,Unknown,Married,Blue
2247,34,M,Graduate,Single,Blue
2248,43,M,Unknown,Married,Blue
2249,44,M,Post-Graduate,Married,Blue
2250,43,M,High School,Single,Blue
2251,47,F,Unknown,Married,Blue
2252,48,M,Graduate,Married,Gold
2253,51,F,Uneducated,Single,Blue
2254,51,F,Unknown,Single,Blue
2255,40,F,Graduate,Married,Blue
2256,39,M,Uneducated,Married,Blue
2257,46,F,Graduate,Married,Blue
2258,65,F,College,Single,Blue
2259,59,F,Graduate,Single,Blue
2260,52,F,Graduate,Married,Blue
2261,35,M,High School,Married,Blue
2262,54,M,High School,Single,Blue
2263,55,F,College,Single,Blue
2264,48,F,Unknown,Married,Blue
2265,33,M,Uneducated,Single,Blue
2266,40,F,Post-Graduate,Divorced,Blue
2267,51,M,High School,Married,Blue
2268,47,M,High School,Married,Blue
2269,56,F,Doctorate,Single,Blue
2270,51,F,High School,Married,Blue
2271,40,M,Graduate,Divorced,Silver
2272,38,M,High School,Single,Blue
2273,34,F,Graduate,Single,Blue
2274,55,F,High School,Married,Blue
2275,30,M,High School,Married,Blue
2276,35,F,High School,Married,Blue
2277,40,F,Graduate,Single,Blue
2278,38,M,High School,Single,Blue
2279,47,F,Graduate,Married,Silver
2280,26,F,Graduate,Single,Blue
2281,45,F,Uneducated,Unknown,Silver
2282,52,F,Graduate,Single,Blue
2283,40,M,Doctorate,Married,Blue
2284,58,M,Uneducated,Unknown,Blue
2285,37,M,Uneducated,Unknown,Blue
2286,39,M,Uneducated,Single,Blue
2287,36,M,Unknown,Unknown,Blue
2288,54,M,Uneducated,Married,Blue
2289,47,M,Uneducated,Married,Blue
2290,56,M,College,Divorced,Blue
2291,50,M,High School,Married,Silver
2292,32,M,Uneducated,Single,Blue
2293,59,F,Unknown,Single,Blue
2294,35,M,Graduate,Single,Blue
2295,45,F,College,Single,Blue
2296,46,M,Graduate,Unknown,Blue
2297,31,M,Post-Graduate,Single,Blue
2298,47,F,College,Single,Blue
2299,34,F,Doctorate,Married,Blue
2300,42,F,Graduate,Married,Blue
2301,52,M,College,Single,Silver
2302,38,M,Uneducated,Married,Blue
2303,43,F,High School,Unknown,Blue
2304,54,F,Graduate,Married,Blue
2305,65,F,High School,Married,Blue
2306,36,F,Unknown,Unknown,Blue
2307,60,F,Doctorate,Married,Blue
2308,38,M,Unknown,Unknown,Blue
2309,59,F,High School,Married,Blue
2310,46,M,High School,Single,Blue
2311,43,M,High School,Married,Blue
2312,54,F,Uneducated,Single,Blue
2313,48,M,College,Married,Blue
2314,36,M,Uneducated,Divorced,Blue
2315,49,F,Unknown,Single,Blue
2316,39,M,High School,Married,Blue
2317,41,M,Graduate,Married,Blue
2318,49,M,Graduate,Single,Blue
2319,36,F,Graduate,Single,Blue
2320,57,M,High School,Married,Blue
2321,44,F,High School,Single,Blue
2322,49,M,Uneducated,Single,Blue
2323,43,F,College,Married,Blue
2324,40,M,High School,Single,Blue
2325,35,F,Graduate,Single,Blue
2326,43,F,Graduate,Married,Silver
2327,39,F,Graduate,Single,Blue
2328,40,M,Uneducated,Single,Blue
2329,39,M,Graduate,Single,Blue
2330,65,F,High School,Married,Blue
2331,36,F,Unknown,Single,Blue
2332,53,M,College,Married,Blue
2333,56,M,Graduate,Single,Blue
2334,46,F,High School,Single,Blue
2335,42,F,Uneducated,Divorced,Blue
2336,54,F,Uneducated,Single,Blue
2337,44,M,High School,Single,Blue
2338,32,F,Unknown,Married,Blue
2339,57,F,Unknown,Single,Silver
2340,44,M,Graduate,Married,Blue
2341,36,M,High School,Divorced,Blue
2342,38,M,Unknown,Single,Blue
2343,38,F,Uneducated,Married,Blue
2344,41,F,High School,Married,Blue
2345,43,M,Graduate,Married,Blue
2346,36,F,Uneducated,Single,Blue
2347,53,M,High School,Married,Blue
2348,49,F,High School,Unknown,Blue
2349,44,F,Graduate,Single,Blue
2350,43,F,Unknown,Married,Blue
2351,48,F,Unknown,Single,Blue
2352,55,M,High School,Single,Blue
2353,61,F,Graduate,Married,Blue
2354,39,F,Unknown,Married,Blue
2355,52,M,High School,Single,Blue
2356,46,F,Graduate,Single,Blue
2357,49,M,High School,Divorced,Blue
2358,68,M,Graduate,Married,Blue
2359,48,F,Uneducated,Divorced,Blue
2360,44,F,Uneducated,Unknown,Blue
2361,31,F,Post-Graduate,Single,Blue
2362,55,M,Graduate,Married,Blue
2363,29,M,Uneducated,Married,Blue
2364,36,M,Graduate,Married,Blue
2365,46,F,Unknown,Single,Blue
2366,43,F,College,Married,Blue
2367,48,F,High School,Married,Blue
2368,43,F,Uneducated,Divorced,Blue
2369,41,F,Uneducated,Married,Blue
2370,50,F,Uneducated,Single,Blue
2371,42,M,Doctorate,Single,Blue
2372,57,F,High School,Single,Blue
2373,49,F,Graduate,Divorced,Blue
2374,33,F,Uneducated,Married,Blue
2375,42,F,Graduate,Married,Blue
2376,46,M,Graduate,Married,Blue
2377,38,M,Unknown,Single,Blue
2378,26,F,High School,Single,Blue
